id,name,sku,brand_id,brand_name,categories_id,categories_name,price,spid,seller_id,seller_name,quantity_sold
116887826,Co nen lay ray tai cho tre em khong - Bộ dụng cụ lấy ráy tai có đèn  siêu sáng cao cấp cho bé yêu ,3599019447909,111461,OEM,2549/11601/2567/2574/10460,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bông tắm cho bé,79000,116887842,212612,dochoixehoi S,4
116887826,Co nen lay ray tai cho tre em khong - Bộ dụng cụ lấy ráy tai có đèn  siêu sáng cao cấp cho bé yêu ,3599019447909,111461,OEM,2549/11601/2567/2574/10460,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bông tắm cho bé,86900,172313876,140042,Shop Sơn Phát,0
108908549,LÓT BỆT CẦU HÌNH CON ẾCH CÓ TAY CẦM CHO BÉ SIÊU TIỆN ÍCH,4771739637952,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",90000,157083606,228030,Auto Win,0
108908549,LÓT BỆT CẦU HÌNH CON ẾCH CÓ TAY CẦM CHO BÉ SIÊU TIỆN ÍCH,4771739637952,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",94900,155351417,167675,Đồ Gia Dụng Nội Thất Đại Dương,0
108908549,LÓT BỆT CẦU HÌNH CON ẾCH CÓ TAY CẦM CHO BÉ SIÊU TIỆN ÍCH,4771739637952,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",95000,108908551,196936,STORE GOOD,0
108908549,LÓT BỆT CẦU HÌNH CON ẾCH CÓ TAY CẦM CHO BÉ SIÊU TIỆN ÍCH,4771739637952,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",82999,121262174,188011,hahanguyen,0
121033892,CHẬU TẮM VN 2205,9714068015306,111461,OEM,2549/11601/2567/2574/10453,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ca, Thau tắm, Chậu tắm",85000,121033893,219391,Manh Thu Shop,0
128791128,Mũ Nón Chắn Nước Gội Đầu Cho Bé Điều Chỉnh Được Kích Thước NKJP12 - Nhật Bản - Vàng - Hàng Chất Lượng,1952332904237,111461,OEM,2549/11601/2567/2574/10458,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Mũ chắn nước gội đầu cho bé,22999,130842472,225733,kimthanhsg78,0
108037741,Bệ lót bồn cầu có tay vịn hình chú ếch,1247386041761,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",75000,108037751,169750,Cửa hàng Trí Thành,0
191004635,Mũ Chụp Gội Đầu Cho Bé,2325841955955,111461,OEM,2549/11601/2567/2574/10458,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Mũ chắn nước gội đầu cho bé,45000,191004637,110726,Shop Mẹ Và Bé UnMei,0
100126178,Bệ lót thu nhỏ bồn cầu hình thú có tay vịn cho bé,6430066381256,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",135900,155367380,167675,Đồ Gia Dụng Nội Thất Đại Dương,0
111031036,Bệ lót ếch cho bé có tay vịn,1827906128388,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",97000,157083394,228030,Auto Win,0
